disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,Trump 2024,D Governor,R Governor,Dem-led,GOP-led,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
5617,2026-02-17T00:00:00.000Z,RANGER ROAD FIRE,2026-02-17T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-02-18T00:00:00.000Z,2026-02-18T00:00:00.000Z,,6,0,0,1,0,R,2026-02-17T00:00:00.000Z,https://www.fema.gov/disaster/5617,,,,0a37c5ef-2093-454b-8acb-4f4344c3e75d,362b86cbc83f5c8c0e9854e4bf903cb007d2a95d,2026-02-18T17:01:07.263Z
5616,2026-02-17T00:00:00.000Z,STEVENS FIRE,2026-02-17T00:00:00.000Z,,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2026-02-18T00:00:00.000Z,2026-02-18T00:00:00.000Z,,6,0,0,1,0,R,2026-02-17T00:00:00.000Z,https://www.fema.gov/disaster/5616,,,,8c9d6e1d-5d08-4b7a-9bfc-89313fe21d27,d052557a46157cd0e25f2e0db277b3cf165fb107,2026-02-18T17:01:07.263Z
5615,2025-12-19T00:00:00.000Z,SUNNY FIRE,2025-12-19T00:00:00.000Z,2025-12-30T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-12-23T00:00:00.000Z,2026-01-13T00:00:00.000Z,,6,0,0,1,0,R,2025-12-19T00:00:00.000Z,https://www.fema.gov/disaster/5615,,,,03377c9d-9566-4619-a12c-d828dd41f79e,28aec21cd23ea2d5b486c624df1041071a7fee7d,2026-01-13T14:41:23.130Z
5572,2025-03-19T00:00:00.000Z,328 FIRE,2025-03-19T00:00:00.000Z,2025-03-28T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-20T00:00:00.000Z,2025-06-10T00:00:00.000Z,,6,0,0,1,1,R,2025-03-19T00:00:00.000Z,https://www.fema.gov/disaster/5572,,,,23ed0c22-0c2e-4d67-a93f-0cd9f743b62a,26ba18c683abf4fa334b0b5d42e6eae0b306f325,2025-06-10T17:21:30.160Z
5568,2025-03-15T00:00:00.000Z,BARN FIRE,2025-03-14T00:00:00.000Z,2025-03-17T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-17T00:00:00.000Z,2025-06-09T00:00:00.000Z,,6,0,0,1,1,R,2025-03-14T00:00:00.000Z,https://www.fema.gov/disaster/5568,,,,5f0ba850-2a76-4d17-8727-be1367bf5cf4,1b41708a929c976449bfe41926cd19817511cb0c,2025-06-09T18:21:12.653Z
5567,2025-03-15T00:00:00.000Z,KEYSTONE FIRE,2025-03-14T00:00:00.000Z,2025-03-28T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-17T00:00:00.000Z,2025-06-09T00:00:00.000Z,,6,0,0,1,1,R,2025-03-14T00:00:00.000Z,https://www.fema.gov/disaster/5567,,,,be92ff3e-dc9a-4f1d-baea-3b90511b1a4c,a14c01e19124f071dfcfec62516898cc7c7bac9c,2025-06-09T18:21:12.653Z
5557,2025-03-14T00:00:00.000Z,840 ROAD FIRE,2025-03-14T00:00:00.000Z,2025-03-25T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-17T00:00:00.000Z,2025-06-10T00:00:00.000Z,,6,0,0,1,1,R,2025-03-14T00:00:00.000Z,https://www.fema.gov/disaster/5557,,,,c84bdaa5-a99f-4891-954c-f62755b1b7f9,7a285ffa8fd9c7c874f456014ad582c296669316,2025-06-10T16:41:24.753Z
5565,2025-03-15T00:00:00.000Z,CLEAR POND FIRE,2025-03-14T00:00:00.000Z,2025-03-15T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-17T00:00:00.000Z,2025-06-10T00:00:00.000Z,,6,0,0,1,1,R,2025-03-14T00:00:00.000Z,https://www.fema.gov/disaster/5565,,,,612c51f4-b52c-4377-a6a2-d8d2cae69beb,b169dec9fd30b709e7b36a849c2a79fa7d8d2ba5,2025-06-10T17:01:31.317Z
5564,2025-03-15T00:00:00.000Z,WILDHORSE FIRE,2025-03-14T00:00:00.000Z,2025-03-19T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-17T00:00:00.000Z,2025-06-10T00:00:00.000Z,,6,0,0,1,1,R,2025-03-14T00:00:00.000Z,https://www.fema.gov/disaster/5564,,,,13425c76-41f3-40de-87a7-4b92106601df,f119dc274245f0bebf84e5fe6c0e0c6a77bd7ec7,2025-06-10T17:01:31.317Z
5562,2025-03-14T00:00:00.000Z,LUTHER FIRE,2025-03-14T00:00:00.000Z,2025-03-24T00:00:00.000Z,Fire Management,OK,Oklahoma                      ,Fire,1,,1,,1,2025-03-17T00:00:00.000Z,2025-06-10T00:00:00.000Z,,6,0,0,1,1,R,2025-03-14T00:00:00.000Z,https://www.fema.gov/disaster/5562,,,,6a379a87-58c8-416d-be99-7ee7be02f58a,25e6d724459600b8e5dd6472442464a271020963,2025-06-10T17:01:31.317Z
