State/Tribe,Type of Extreme Weather,Incident Period Start,Incident Period End,Major Disaster Declaration Request,Major Disaster Declaration Decision,Decision Details,Decision Date,Waiting Period,Summary,Lat,Long,ID
Nebraska,Severe Storm and Straight-line Winds,6/29/2025,6/30/2025,7/23/2025,Rejected,"A joint state/FEMA preliminary damage assessment estimated $9.37 million in losses, well above Nebraska's $3.71 million threshold for FY2025. ",9/11/2025,50 days,"On 7/23, Nebraska Gov. Jim Pillen (R) requested Public Assistance for Dawson County and statewide Hazard Mitigation.

On 9/11, FEMA rejected Pillen's request.",40.81815274,-99.87807559,50
Wisconsin,"Severe Storms, Straight-line Winds, Flooding, and Mudslides",8/9/2025,8/12/2025,8/27/2025,Approved (partial),Certain types of aid denied,9/11/2025,15 days,"On 8/27, Wisconsin Gov. Tony Evers (D) requested Individual Assistance for 3 counties, Public Assistance (various categories) for 6 counties, and Hazard Mitigation for 6 counties.

On 9/11, FEMA authorized Individual Assistance for 3 counties.

On 10/23, FEMA denied Public Assistance.

On 10/28, FEMA denied Hazard Mitigation grants.

On 11/18, Evers submitted an appeal.

On 2/7/26, FEMA rejected Evers' appeal even though a joint state/FEMA preliminary damage assessment validated more than $26.5 million in eligible Public Assistance disaster costs, well above Wisconsin's $11.4 million threshold for FY2026.",43.14727791,-88.03113901,51
Kansas,"Severe Storms, Straight-line Winds, Tornadoes, and Flooding",6/3/2025,6/7/2025,8/5/2025,Approved (partial),Certain types of aid in limbo,9/11/2025,37 days,"On 8/5, Kansas Gov. Laura Kelly (D) requested Public Assistance for 16 counties and statewide Hazard Mitigation.

On 9/11, FEMA authorized Public Assistance (categories A-G) for 16 counties.

No decision about Hazard Mitigation grants has been announced.",37.68591524,-97.26769392,52
North Carolina,Tropical Depression Chantal,7/6/2025,7/7/2025,8/5/2025,Approved (partial),Certain types of aid in limbo,9/11/2025,37 days,"On 8/5, North Carolina Gov. Josh Stein (D) requested Public Assistance for 7 counties and statewide Hazard Mitigation.

On 9/11, FEMA authorized Public Assistance (categories A-G) for 7 counties.

No decision about Hazard Mitigation grants has been announced.",36.06716844,-79.40232183,53
Sisseton-Wahpeton Oyate Tribe,Severe Storms and Flooding,6/12/2025,6/17/2025,7/30/2025,Approved (partial),Certain types of aid in limbo,9/11/2025,43 days,"On 7/30, the Sisseton-Wahpeton Oyate tribal government requested Individual Assistance, Public Assistance, and Hazard Mitigation grants for the Lake Traverse Reservation.

On 9/11, FEMA authorized Individual Assistance and Public Assistance (categories A-G) for the Lake Traverse Reservation.

No decision about Hazard Mitigation grants has been announced.",45.61256716,-97.14394787,54
North Dakota,"Severe Storms, Straight-line Winds, and Tornadoes",6/20/2025,6/21/2025,7/21/2025,Approved (partial),Certain types of aid in limbo,9/11/2025,52 days,"On 7/21, North Dakota Gov. Kelly Armstrong (R) requested Public Assistance for 19 counties and statewide Hazard Mitigation.

On 9/11, FEMA authorized Public Assistance (categories A-G) for 19 counties.

No decision about Hazard Mitigation grants has been announced.",46.62311643,-97.60005909,55
Crow Tribe of Montana,"Severe Storms, Flooding, and Straight-line Winds",5/18/2025,5/22/2025,7/17/2025,Approved (partial),Certain types of aid in limbo,9/11/2025,56 days,"On 7/17, the Crow Tribe of Montana requested Public Assistance and Hazard Mitigation grants.

On 9/11, FEMA authorized Public Assistance (categories A-G) for the Crow Indian Reservation.

No decision about Hazard Mitigation grants has been announced.",45.38033384,-107.8965325,56
Kentucky,Severe Winter Storm,1/4/2025,1/11/2025,1/31/2025 (original) and 6/4/2025 (appeal),Rejected,,"7/22/2025 (appeal)

5/21/2025 (original)",172 days (from original request to appeal denial),"On 5/21, FEMA rejected Kentucky Gov. Andy Beshear's (D) 1/31 request for Public Assistance and statewide Hazard Mitigation.

On 6/4, Beshear submitted an appeal.

On 7/22, FEMA rejected Beshear's appeal.",38.04226248,-84.52286587,57
New Mexico,"Severe Storms, Flooding, and Landslides",6/23/2025,8/5/2025,7/8/2025,Approved (partial),Certain jurisdictions excluded and types of aid in limbo,7/22/2025,14 days,"On 7/8, New Mexico Gov. Michelle Grisham (D) requested Individual Assistance for 2 counties (Lincoln and Valencia), Public Assistance for 4 counties (Chaves, Lincoln, Otero, and Valencia) along with one tribe (Mescalero Apache Tribe), and statewide Hazard Mitigation.

FEMA has authorized Individual Assistance for Doña Ana and Lincoln counties (Valenica County was excluded) and Public Assistance (categories A-G) for Doña Ana, Lincoln, and Otero counties as well as the Mescalero Reservation (Chaves and Valencia counties were excluded).

No decision about Hazard Mitigation grants has been announced.",33.33375337,-105.6804654,58
Missouri,Severe Storms and Flooding,5/23/2025,5/26/2025,6/21/2025,Approved (partial),Certain types of aid in limbo,7/22/2025,31 days,"On 6/21, Missouri Gov. Mike Kehoe (R) requested Public Assistance for 5 counties and Hazard Mitigation for an undisclosed number of counties.

On 7/22, FEMA authorized Public Assistance (categories A-G) for 5 counties.

No decision about Hazard Mitigation grants has been announced.",37.41295825,-93.84512763,59
